results,reviews,rating,countyState,fips,Arating,tax_rating,satisfaction/dollar,Market value
11,33,4.05,"Menominee County, MI",26109,7.06225,1071,151.651385889766,6.9
50,330,4.06,"Fayette County, PA",42051,7.0967,1093,154.015246523032,6.9
50,242,4.08,"Hendry County, FL",12051,7.1656,1177,164.257005693871,6.9
50,184,4.08,"Barrow County, GA",13013,7.1656,1191,166.210784861003,6.9
13,74,4.08,"Deer Lodge County, MT",30023,7.1656,1227,171.234788433627,6.9
50,179,4.07,"Madison County, VA",51113,7.13115,1229,172.342469307194,6.9
50,130,4.09,"Jefferson County, MO",29099,7.20005,1260,174.998784730662,6.9
50,154,4.09,"Morgan County, GA",13211,7.20005,1364,189.443128867161,6.9
50,233,4.08,"Douglas County, GA",13097,7.1656,1369,191.051691414536,6.9
13,74,4.08,"Silver Bow County, MT",30093,7.1656,1370,191.191247069331,6.9
49,162,4.1,"Iowa County, IA",19095,7.2345,1421,196.419932268989,6.9
50,203,4.11,"Cabarrus County, NC",37025,7.26895,1455,200.166461455919,6.9
15,16,4.1,"Kanabec County, MN",27065,7.2345,1500,207.339829981339,6.9
50,142,4.13,"Lewis County, WA",53041,7.33785,1512,206.054907091314,6.9
50,201,4.11,"Clay County, FL",12019,7.26895,1518,208.833462879783,6.9
50,247,4.13,"Coweta County, GA",13077,7.33785,1541,210.007018404574,6.9
50,112,4.12,"Washington County, PA",42125,7.3034,1593,218.117589068105,6.9
50,81,4.14,"Armstrong County, PA",42005,7.3723,1703,230.999823664257,6.9
50,197,4.14,"Flagler County, FL",12035,7.3723,1720,233.305752614517,6.9
50,203,4.17,"Hendricks County, IN",18063,7.47565,1779,237.972617765679,6.9
50,350,4.17,"Jefferson County, CO",8059,7.47565,1822,243.724625952258,6.9
50,195,4.18,"Douglas County, NV",32005,7.5101,1827,243.272393177188,6.9
50,129,4.18,"Van Buren County, MI",26159,7.5101,1839,244.870241408237,6.9
50,106,4.19,"Calhoun County, MI",26025,7.54455,1861,246.668124672777,6.9
50,208,4.17,"Cooke County, TX",48097,7.47565,1877,251.08184572579,6.9
50,110,4.18,"Elbert County, CO",8039,7.5101,1922,255.922025006325,6.9
50,125,4.2,"Lenawee County, MI",26091,7.579,1990,262.567621058187,6.9
40,117,4.25,"Grand Traverse County, MI",26055,7.75125,2195,283.180132236736,6.9
50,130,4.28,"Sherburne County, MN",27141,7.8546,2271,289.129936597663,6.9
50,169,4.31,"San Joaquin County, CA",6077,7.95795,2337,293.668595555388,6.9
50,352,4.35,"Lafayette County, WI",55065,8.09575,2447,302.25735725535,6.9
50,161,4.38,"Polk County, IA",19153,8.1991,2493,304.057762437341,6.9
